cidr,countrycode
45.71.48.0/24,BR
45.71.52.0/24,HN
45.71.56.0/22,AR
45.71.60.0/22,BR
45.71.106.0/24,AR
45.71.108.0/22,BR
45.71.112.0/22,EC
45.71.116.0/22,BR
45.71.152.0/22,AR
45.71.156.0/22,CW
45.71.160.0/21,BR
45.71.172.0/22,BR
45.71.180.0/22,CO
45.71.184.0/22,EC
45.71.188.0/22,BR
45.71.196.0/22,AR
45.71.200.0/22,EC
45.71.204.0/22,AR
45.71.208.0/20,BR
45.71.252.0/23,EC
45.72.0.0/24,CA
45.72.1.0/24,US
45.72.2.0/23,CA
45.72.18.0/23,US
45.72.20.0/24,CA
45.72.21.0/24,US
45.72.23.0/24,CA
45.72.24.0/24,US
45.72.25.0/24,CA
45.72.31.0/24,US
45.72.34.0/23,CA
45.72.37.0/24,US
45.72.39.0/24,CA
45.72.44.0/24,US
45.72.45.0/24,CA
45.72.48.0/23,US
45.72.50.0/24,CA
45.72.51.0/24,US
45.72.52.0/24,CA
45.72.53.0/24,US
45.72.56.0/22,CA
45.72.61.0/24,US
45.72.62.0/23,CA
45.72.68.0/24,US
45.72.69.0/24,CA
45.72.80.0/24,CA
45.72.81.0/24,US
45.72.82.0/23,CA
45.72.85.0/24,US
45.72.87.0/24,CA
45.72.93.0/24,US
45.72.98.0/23,CA
45.72.104.0/23,US
45.72.106.0/23,CA
45.72.108.0/24,US
45.72.109.0/24,CA
45.72.112.0/23,US
45.72.114.0/23,CA
45.72.117.0/24,US
45.72.119.0/24,CA
45.72.189.0/24,CA
45.73.128.0/19,US
45.73.180.0/23,GB
45.73.182.0/23,US
45.74.0.0/24,GB
45.74.1.0/24,AL
45.74.4.0/24,RO
45.74.5.0/24,GB
45.74.6.0/24,RO
45.74.7.0/24,GB
45.74.9.0/24,US
45.74.10.0/23,IN
45.74.13.0/24,GB
45.74.14.0/24,AU
45.74.15.0/24,GB
45.74.18.0/24,FI
45.74.19.0/24,RO
45.74.20.0/23,US
45.74.25.0/24,GB
45.74.27.0/24,RO
45.74.29.0/24,RO
45.74.32.0/24,RO
45.74.33.0/24,GB
45.74.34.0/24,RO
45.74.37.0/24,AU
45.74.38.0/23,RO
45.74.40.0/24,GB
45.74.41.0/24,RO
45.74.42.0/24,AU
45.74.44.0/22,RO
45.74.48.0/24,GB
45.74.49.0/24,MY
45.74.51.0/24,MY
45.74.52.0/23,GB
45.74.55.0/24,RO
45.74.56.0/24,GB
45.74.57.0/24,US
45.74.59.0/24,GB
45.74.60.0/24,US
45.74.61.0/24,CA
45.74.62.0/23,GB
45.74.64.0/20,CA
45.74.80.0/20,US
45.74.96.0/19,CA
45.74.128.0/17,US
45.75.0.0/17,JP
45.75.128.0/17,GB
45.76.0.0/18,US
45.76.118.53/32,VN
45.76.118.54/31,US
45.78.0.0/18,CA
45.78.96.0/19,CA
45.78.128.0/20,US
45.78.146.0/23,US
45.78.160.0/19,CA
45.79.0.0/17,SG
45.79.236.0/22,SG
45.80.1.0/24,FR
45.80.4.0/24,GB
45.80.6.0/24,US
45.80.7.0/24,DE
45.80.8.0/22,FR
45.80.12.0/22,ES
45.80.16.0/22,CH
45.80.20.0/22,FR
45.80.28.0/24,DE
45.80.29.0/24,TR
45.80.30.0/24,US
45.80.32.0/22,FR
45.80.36.0/22,NL
45.80.40.0/22,DK
45.80.44.0/22,RU
45.80.48.0/24,GB
45.80.49.0/24,IE
45.80.50.0/23,TR
45.80.52.0/23,LV
45.80.60.0/22,LT
45.80.64.0/21,RU
45.80.72.0/22,US
45.80.76.0/22,FR
45.80.80.0/22,ES
45.80.88.0/22,IL
45.80.92.0/22,DK
45.80.96.0/22,US
45.80.100.0/22,MF
45.80.104.0/23,MD
45.80.106.0/23,GB
45.80.108.0/23,UA
45.80.111.0/24,US
45.80.116.0/22,IN
45.80.120.0/22,RU
45.80.128.0/24,RU
45.80.129.0/24,US
45.80.132.0/22,RS
45.80.136.0/22,CH
45.80.140.0/22,DE
45.80.144.0/24,NO
45.80.148.0/23,RO
45.80.151.0/24,RO
45.80.152.0/22,CY
45.80.156.0/24,HK
45.80.157.0/24,GB
45.80.159.0/24,BR
45.80.160.0/22,GB
45.80.168.0/22,NL
45.80.172.0/23,IT
45.80.174.0/24,CY
45.80.175.0/24,TR
45.80.176.0/22,AT
45.80.180.0/22,CY
45.80.184.0/22,US
45.80.188.0/22,DE
45.80.192.0/24,US
45.80.193.0/24,IT
45.80.194.0/23,US
45.80.200.0/22,IN
45.80.204.0/22,RU
45.80.208.0/22,LU
45.80.214.0/23,LU
45.80.220.0/24,RU
45.80.221.0/24,GB
45.80.224.0/22,ES
45.80.228.0/22,RO
45.80.232.0/22,NL
45.80.236.0/22,HU
45.80.240.0/22,RU
45.80.244.0/22,GB
45.80.248.0/22,US
45.80.252.0/22,FR
45.81.0.0/22,GB
45.81.4.0/22,US
45.81.8.0/22,AT
45.81.16.0/22,IR
45.81.20.0/24,FR
45.81.21.0/24,NL
45.81.24.0/24,RO
45.81.25.0/24,US
45.81.26.0/23,RO
45.81.28.0/22,GE
45.81.32.0/23,JP
45.81.34.0/23,SC
45.81.36.0/24,BG
45.81.38.0/24,BG
45.81.39.0/24,US
45.81.40.0/23,SK
45.81.44.0/22,DE
45.81.52.0/22,NL
45.81.56.0/24,IE
45.81.57.0/24,TR
45.81.59.0/24,LT
45.81.60.0/22,FR
45.81.64.0/22,IT
45.81.68.0/22,CH
45.81.72.0/22,US
45.81.76.0/22,RU
45.81.80.0/21,FR
45.81.88.0/22,ES
45.81.92.0/22,CZ
45.81.100.0/22,TR
45.81.104.0/22,ES
45.81.108.0/22,HU
45.81.112.0/22,TR
45.81.116.0/24,GB
45.81.117.0/24,RO
45.81.118.0/24,US
45.81.119.0/24,RO
45.81.120.0/22,GB
45.81.124.0/22,ES
45.81.128.0/22,US
45.81.132.0/22,DE
45.81.136.0/22,RU
45.81.140.0/22,TR
45.81.144.0/22,IQ
45.81.148.0/23,US
45.81.151.0/24,GB
45.81.152.0/22,ES
45.81.156.0/22,IT
45.81.161.0/24,RO
45.81.164.0/22,RU
45.81.168.0/22,NL
45.81.172.0/22,FR
45.81.180.0/22,FI
45.81.188.0/22,SE
45.81.192.0/21,FR
45.81.200.0/22,RU
45.81.204.0/22,FR
45.81.216.0/24,GB
45.81.220.0/22,NL
45.81.228.0/22,DE
45.81.236.0/22,AT
45.81.240.0/24,US
45.81.241.0/24,TR
45.81.243.0/24,US
45.81.244.0/22,AT
45.81.248.0/22,DE
45.81.252.0/24,LT
45.81.253.0/24,MD
45.81.254.0/24,LT
45.81.255.0/24,US
45.82.0.0/22,IT
45.82.4.0/22,AU
45.82.8.0/22,UA
45.82.12.0/24,GB
45.82.13.0/24,RU
45.82.14.0/23,US
45.82.16.0/22,FI
45.82.20.0/22,CA
45.82.28.0/23,RO
45.82.30.0/24,RU
45.82.31.0/24,LU
45.82.32.0/24,LT
45.82.33.0/24,PA
45.82.34.0/23,LT
45.82.40.0/22,RO
45.82.48.0/22,RO
45.82.52.0/22,LT
45.82.56.0/22,NL
45.82.60.0/22,IQ
45.82.64.0/21,NL
45.82.72.0/22,CY
45.82.76.0/22,HK
45.82.80.0/24,SE
45.82.81.0/24,GB
45.82.82.0/24,DE
45.82.83.0/24,RU
45.82.84.0/22,US
45.82.88.0/22,BA
45.82.96.0/22,IN
45.82.100.0/22,LU
45.82.104.0/23,NL
45.82.106.0/23,IL
45.82.108.0/22,FI
45.82.116.0/22,HK
45.82.120.0/21,DE
45.82.128.0/24,NL
45.82.132.0/22,IT
45.82.136.0/22,IR
45.82.140.0/22,GB
45.82.144.0/22,PL
45.82.148.0/22,FI
45.82.152.0/23,RU
45.82.154.0/23,GB
45.82.156.0/22,CZ
45.82.160.0/22,LU
45.82.164.0/22,RO
45.82.172.0/22,DE
45.82.176.0/22,NL
45.82.180.0/22,FR
45.82.184.0/21,NL
45.82.192.0/22,DE
45.82.196.0/22,IN
45.82.201.0/24,IT
45.82.204.0/22,AT
45.82.208.0/22,FR
45.82.212.0/22,DE
45.82.216.0/22,RU
45.82.220.0/23,PA
45.82.223.0/24,IN
45.82.224.0/22,RU
45.82.228.0/22,IT
45.82.232.0/22,CZ
45.82.236.0/22,JP
45.82.244.0/22,US
45.83.0.0/22,UA
45.83.4.0/22,NL
45.83.8.0/22,RU
45.83.16.0/22,RU
45.83.20.0/22,US
45.83.29.0/24,US
45.83.30.0/23,HK
45.83.32.0/22,TR
45.83.36.0/22,GB
45.83.40.0/24,IL
45.83.41.0/24,US
45.83.42.0/23,IL
45.83.44.0/23,GR
45.83.48.0/22,ES
45.83.56.0/22,IT
45.83.64.0/22,DE
45.83.68.0/22,CH
45.83.72.0/22,EE
45.83.76.0/22,GB
45.83.84.0/22,US
45.83.88.0/22,RO
45.83.92.0/22,RU
45.83.96.0/23,AE
45.83.99.0/24,AE
45.83.100.0/22,ES
45.83.104.0/22,DE
45.83.112.0/21,US
45.83.120.0/22,VG
45.83.124.0/22,US
45.83.132.0/22,TR
45.83.140.0/22,US
45.83.156.0/22,DE
45.83.164.0/22,GB
45.83.172.0/22,NL
45.83.176.0/22,MD
45.83.184.0/24,IL
45.83.185.0/24,RO
45.83.188.0/22,US
45.83.192.0/22,UA
45.83.200.0/22,NL
45.83.204.0/24,IT
45.83.205.0/24,NL
45.83.207.0/24,KN
45.83.212.0/22,CZ
45.83.216.0/22,BG
45.83.220.0/22,SE
45.83.224.0/22,IN
45.83.228.0/22,FR
45.83.232.0/22,NL
45.83.236.0/23,HK
45.83.238.0/23,LT
45.83.240.0/22,NL
45.83.244.0/22,DE
45.83.248.0/22,BG
45.83.252.0/22,AT
45.84.0.0/24,GB
45.84.1.0/24,RU
45.84.4.0/22,NL
45.84.12.0/22,RU
45.84.16.0/22,TR
45.84.20.0/22,GB
45.84.24.0/22,DE
45.84.28.0/23,AI
45.84.31.0/24,CZ
45.84.32.0/22,DE
45.84.36.0/23,LB
45.84.38.0/23,PA
45.84.40.0/22,NL
45.84.44.0/23,RO
45.84.46.0/24,IL
45.84.47.0/24,RO
45.84.48.0/22,ES
45.84.52.0/22,FR
45.84.56.0/24,AU
45.84.57.0/24,GB
45.84.58.0/24,JO
45.84.59.0/24,US
45.84.60.0/22,RU
45.84.64.0/22,DE
45.84.68.0/22,RU
45.84.72.0/22,DE
45.84.76.0/22,HU
45.84.80.0/22,TR
45.84.84.0/22,RU
45.84.88.0/24,BR
45.84.89.0/24,TR
45.84.90.0/24,US
45.84.91.0/24,TR
45.84.92.0/22,UA
45.84.98.0/23,FR
45.84.100.0/22,US
45.84.106.0/23,RO
45.84.108.0/22,LT
45.84.112.0/22,FR
45.84.116.0/22,AL
45.84.120.0/22,RO
45.84.124.0/22,HU
45.84.128.0/22,RU
45.84.136.0/23,US
45.84.138.0/24,DE
45.84.139.0/24,US
45.84.140.0/22,IT
45.84.144.0/22,AT
45.84.152.0/22,RU
45.84.156.0/22,IR
45.84.160.0/22,LT
45.84.164.0/22,CZ
45.84.168.0/22,IT
45.84.172.0/22,BG
45.84.176.0/22,RU
45.84.184.0/22,BG
45.84.188.0/22,TR
45.84.192.0/24,BG
45.84.195.0/24,IT
45.84.197.0/24,US
45.84.198.0/24,IT
45.84.199.0/24,DE
45.84.200.0/22,GB
45.84.204.0/22,CY
45.84.208.0/22,ES
45.84.212.0/23,BR
45.84.214.0/23,US
45.84.216.0/24,GB
45.84.219.0/24,BR
45.84.220.0/22,TR
45.84.224.0/22,RU
45.84.228.0/22,IN
45.84.236.0/24,AL
45.84.240.0/24,IN
45.84.241.0/24,GB
45.84.242.0/24,HK
45.84.243.0/24,BR
45.84.244.0/22,LT
45.84.248.0/22,IR
45.84.252.0/23,AT
45.85.0.0/22,RO
45.85.4.0/22,US
45.85.8.0/22,PL
45.85.12.0/23,US
45.85.14.0/23,GB
45.85.16.0/22,IT
45.85.20.0/22,BE
45.85.28.0/24,BE
45.85.36.0/22,UA
45.85.40.0/23,DE
45.85.44.0/22,FR
45.85.48.0/22,DE
45.85.52.0/24,FR
45.85.54.0/23,FR
45.85.56.0/22,DE
45.85.60.0/22,GB
45.85.64.0/22,RU
45.85.72.0/22,SE
45.85.76.0/22,HK
45.85.80.0/22,FR
45.85.84.0/24,AT
45.85.85.0/24,CR
45.85.87.0/24,AT
45.85.88.0/23,US
45.85.91.0/24,BR
45.85.92.0/22,CH
45.85.98.0/24,CH
45.85.100.0/24,GB
45.85.104.0/24,RO
45.85.106.0/23,US
45.85.112.0/22,DE
45.85.117.0/24,RO
45.85.118.0/23,US
45.85.124.0/22,RO
45.85.128.0/22,US
45.85.132.0/22,FR
45.85.136.0/22,ES
45.85.140.0/22,RU
45.85.144.0/24,PA
45.85.145.0/24,GB
45.85.146.0/23,DE
45.85.148.0/22,NL
45.85.156.0/23,IT
45.85.158.0/23,US
45.85.160.0/22,NL
45.85.164.0/22,IT
45.85.168.0/22,HK
45.85.172.0/22,CZ
45.85.176.0/22,FR
45.85.180.0/22,ES
45.85.184.0/22,PL
45.85.188.0/23,US
45.85.190.0/24,NL
45.85.192.0/23,AT
45.85.194.0/24,GB
45.85.195.0/24,AT
45.85.196.0/22,IM
45.85.200.0/23,DE
45.85.204.0/22,RU
45.85.208.0/22,PL
45.85.212.0/22,RU
45.85.216.0/22,DE
45.85.220.0/22,NL
45.85.224.0/22,MX
45.85.228.0/22,DE
45.85.232.0/22,FI
45.85.236.0/23,DE
45.85.240.0/22,RO
45.85.244.0/23,GB
45.85.247.0/24,US
45.85.249.0/24,DE
45.85.251.0/24,US
45.85.252.0/22,CZ
45.86.0.0/22,RU
45.86.4.0/24,IR
45.86.6.0/23,IR
45.86.8.0/22,US
45.86.12.0/24,DE
45.86.13.0/24,NL
45.86.14.0/24,DE
45.86.15.0/24,NL
45.86.16.0/23,MD
45.86.24.0/21,RO
45.86.34.0/23,PL
45.86.36.0/24,CH
45.86.39.0/24,RU
45.86.44.0/22,UA
45.86.48.0/22,US
45.86.52.0/22,LT
45.86.56.0/22,RS
45.86.60.0/22,US
45.86.80.0/22,KZ
45.86.84.0/24,HK
45.86.85.0/24,US
45.86.86.0/24,MD
45.86.87.0/24,IR
45.86.88.0/22,DE
45.86.92.0/22,NL
45.86.96.0/21,FR
45.86.104.0/23,SE
45.86.108.0/22,IT
45.86.112.0/24,US
45.86.116.0/22,US
45.86.120.0/24,GB
45.86.124.0/22,DE
45.86.128.0/22,IN
45.86.132.0/23,CH
45.86.136.0/22,RO
45.86.140.0/22,HK
45.86.144.0/21,IT
45.86.153.0/24,US
45.86.156.0/22,GB
45.86.162.0/24,US
45.86.163.0/24,DE
45.86.164.0/24,AT
45.86.166.0/23,AT
45.86.168.0/24,RU
45.86.169.0/24,NL
45.86.170.0/23,RU
45.86.176.0/22,NL
45.86.180.0/22,RU
45.86.184.0/22,ES
45.86.188.0/23,US
45.86.190.0/23,HK
45.86.196.0/22,IR
45.86.200.0/24,GB
45.86.201.0/24,EE
45.86.202.0/23,GB
45.86.204.0/23,FR
45.86.208.0/22,GB
45.86.220.0/24,RO
45.86.221.0/24,SG
45.86.222.0/23,GB
45.86.224.0/22,ES
45.86.228.0/23,EE
45.86.230.0/24,GB
45.86.231.0/24,EE
45.86.232.0/22,HK
45.86.240.0/23,RO
45.86.243.0/24,RO
45.86.244.0/22,NL
45.86.248.0/22,MX
45.87.0.0/22,NL
45.87.4.0/22,IR
45.87.8.0/22,LT
45.87.12.0/22,CZ
45.87.16.0/22,DE
45.87.20.0/22,US
45.87.28.0/24,US
45.87.29.0/24,JO
45.87.30.0/23,SE
45.87.32.0/22,PL
45.87.40.0/22,NL
45.87.44.0/22,US
45.87.48.0/22,BR
45.87.52.0/24,HK
45.87.56.0/22,FR
45.87.60.0/22,US
45.87.64.0/22,IT
45.87.68.0/24,US
45.87.71.0/24,GB
45.87.72.0/22,CH
45.87.76.0/22,BE
45.87.80.0/22,CY
45.87.84.0/22,US
45.87.88.0/22,UA
45.87.92.0/23,US
45.87.94.0/23,JP
45.87.96.0/22,HU
45.87.100.0/22,US
45.87.104.0/23,LT
45.87.107.0/24,NL
45.87.112.0/22,HU
45.87.116.0/22,CZ
45.87.122.0/24,RO
45.87.124.0/23,GB
45.87.126.0/24,RU
45.87.127.0/24,GB
45.87.130.0/23,US
45.87.132.0/22,FI
45.87.136.0/23,DE
45.87.140.0/22,RU
45.87.148.0/22,DE
45.87.152.0/24,NL
45.87.153.0/24,HK
45.87.154.0/23,GB
45.87.158.0/23,DE
45.87.160.0/23,BG
45.87.162.0/24,US
45.87.163.0/24,TR
45.87.164.0/22,US
45.87.168.0/22,RO
45.87.172.0/24,BZ
45.87.173.0/24,TR
45.87.176.0/21,FR
45.87.184.0/22,GB
45.87.188.0/22,DE
45.87.192.0/23,AT
45.87.196.0/23,US
45.87.200.0/22,FI
45.87.204.0/22,HU
45.87.208.0/22,GB
45.87.212.0/22,RO
45.87.216.0/22,RU
45.87.220.0/22,GB
45.87.224.0/23,IE
45.87.232.0/22,GB
45.87.236.0/23,CZ
45.87.240.0/22,NL
45.87.244.0/22,RU
45.87.248.0/23,NL
45.87.252.0/23,RU
45.87.254.0/24,GB
45.87.255.0/24,RU
45.88.0.0/22,VG
45.88.5.0/24,NL
45.88.8.0/24,GB
45.88.9.0/24,NL
45.88.10.0/24,US
45.88.11.0/24,LT
45.88.12.0/23,US
45.88.15.0/24,US
45.88.21.0/24,IE
45.88.23.0/24,IE
45.88.24.0/21,US
45.88.32.0/22,TR
45.88.37.0/24,GI
45.88.40.0/24,US
45.88.41.0/24,GB
45.88.44.0/22,FI
45.88.48.0/22,NL
45.88.52.0/22,RU
45.88.60.0/22,GB
45.88.64.0/23,TR
45.88.66.0/24,CN
45.88.72.0/22,IL
45.88.76.0/22,NL
45.88.80.0/22,GB
45.88.84.0/22,AU
45.88.92.0/22,HU
45.88.96.0/24,PL
45.88.97.0/24,US
45.88.98.0/24,GB
45.88.99.0/24,DO
45.88.100.0/24,RO
45.88.101.0/24,LV
45.88.102.0/23,GB
45.88.104.0/22,NL
45.88.108.0/22,DE
45.88.112.0/22,GB
45.88.116.0/22,NO
45.88.120.0/21,US
45.88.128.0/22,AT
45.88.132.0/22,US
45.88.136.0/23,TR
45.88.138.0/24,DE
45.88.139.0/24,TR
45.88.140.0/22,FR
45.88.144.0/22,GB
45.88.148.0/22,US
45.88.152.0/22,ES
45.88.158.0/24,RU
45.88.159.0/24,UA
45.88.160.0/22,US
45.88.168.0/22,US
45.88.172.0/22,RO
45.88.176.0/21,US
45.88.184.0/23,HK
45.88.187.0/24,KN
45.88.188.0/23,DE
45.88.190.0/24,AU
45.88.191.0/24,DE
45.88.192.0/22,US
45.88.196.0/22,CY
45.88.200.0/23,NO
45.88.202.0/24,EE
45.88.203.0/24,US
45.88.208.0/22,RU
45.88.216.0/22,NL
45.88.221.0/24,US
45.88.223.0/24,DE
45.88.224.0/22,LB
45.88.228.0/22,GB
45.88.236.0/22,DE
45.88.240.0/22,AT
45.88.244.0/23,ES
45.88.246.0/23,HK
45.88.252.0/22,RU
45.89.4.0/22,GB
45.89.8.0/22,PL
45.89.12.0/22,AT
45.89.16.0/22,RU
45.89.20.0/24,IQ
45.89.21.0/24,RO
45.89.22.0/24,RU
45.89.23.0/24,CY
45.89.24.0/22,RU
45.89.28.0/22,US
45.89.37.0/24,IE
45.89.39.0/24,IE
45.89.40.0/22,ES
45.89.44.0/22,US
45.89.52.0/24,TR
45.89.54.0/24,SK
45.89.55.0/24,RS
45.89.56.0/22,GB
45.89.60.0/22,RU
45.89.64.0/24,CZ
45.89.65.0/24,GB
45.89.67.0/24,SC
45.89.68.0/22,RU
45.89.76.0/22,FR
45.89.84.0/22,US
45.89.88.0/22,UA
45.89.92.0/22,DE
45.89.96.0/24,US
45.89.97.0/24,EE
45.89.98.0/24,US
45.89.99.0/24,EE
45.89.100.0/22,US
45.89.112.0/22,FR
45.89.116.0/22,IN
45.89.121.0/24,IT
45.89.124.0/22,DE
45.89.132.0/22,NL
45.89.137.0/24,IR
45.89.140.0/22,DE
45.89.152.0/22,FR
45.89.156.0/22,US
45.89.160.0/23,DE
45.89.163.0/24,AT
45.89.164.0/22,RO
45.89.168.0/22,DE
45.89.172.0/22,RO
45.89.180.0/22,IT
45.89.184.0/22,FR
45.89.188.0/23,RU
45.89.190.0/24,GB
45.89.191.0/24,RU
45.89.192.0/22,NO
45.89.196.0/22,US
45.89.200.0/24,IR
45.89.204.0/22,CY
45.89.208.0/23,US
45.89.210.0/23,IN
45.89.212.0/22,GI
45.89.216.0/22,JP
45.89.224.0/21,RU
45.89.232.0/22,HK
45.89.236.0/22,IR
45.89.240.0/22,GB
45.89.244.0/23,SC
45.89.246.0/23,TR
45.89.248.0/24,GB
45.89.249.0/24,IT
45.89.250.0/23,GB
45.89.253.0/24,NL
45.89.254.0/24,US
45.89.255.0/24,KR
45.90.0.0/22,PL
45.90.4.0/22,DE
45.90.12.0/22,US
45.90.16.0/22,TR
45.90.20.0/22,US
45.90.24.0/22,AT
45.90.28.0/22,US
45.90.32.0/22,RU
45.90.36.0/23,NO
45.90.41.0/24,GB
45.90.44.0/24,RU
45.90.45.0/24,ES
45.90.46.0/23,RU
45.90.52.0/22,ES
45.90.56.0/22,US
45.90.60.0/22,IN
45.90.68.0/22,AT
45.90.72.0/22,IR
45.90.76.0/22,AT
45.90.80.0/22,AL
45.90.84.0/24,RO
45.90.85.0/24,JP
45.90.92.0/22,IT
45.90.96.0/22,DE
45.90.100.0/22,CZ
45.90.104.0/22,GB
45.90.108.0/22,CY
45.90.112.0/22,LT
45.90.116.0/22,US
45.90.124.0/24,IT
45.90.132.0/22,DE
45.90.140.0/22,RO
45.90.144.0/24,US
45.90.145.0/24,GB
45.90.146.0/24,RO
45.90.147.0/24,HK
45.90.156.0/22,GB
45.90.160.0/22,FR
45.90.164.0/22,PL
45.90.168.0/22,IT
45.90.172.0/22,US
45.90.176.0/22,UA
45.90.180.0/23,IE
45.90.184.0/22,DE
45.90.188.0/22,ES
45.90.192.0/22,FR
45.90.196.0/24,RU
45.90.197.0/24,GB
45.90.198.0/23,US
45.90.208.0/22,HK
45.90.212.0/22,GI
45.90.216.0/22,GB
45.90.220.0/24,CY
45.90.221.0/24,OM
45.90.222.0/24,US
45.90.223.0/24,CY
45.90.224.0/22,FR
45.90.228.0/22,CY
45.90.232.0/22,IT
45.90.240.0/22,IT
45.90.244.0/22,RU
45.90.248.0/22,GB
45.90.252.0/22,GE
45.91.0.0/22,CZ
45.91.4.0/23,RO
45.91.8.0/24,RU
45.91.9.0/24,GB
45.91.10.0/23,US
45.91.12.0/22,DE
45.91.16.0/22,GB
45.91.20.0/23,RO
45.91.23.0/24,CA
45.91.24.0/22,AT
45.91.28.0/22,CZ
45.91.32.0/22,LT
45.91.36.0/22,GB
45.91.48.0/23,BR
45.91.50.0/24,US
45.91.51.0/24,AU
45.91.52.0/22,RU
45.91.56.0/22,NL
45.91.60.0/22,DE
45.91.66.0/24,RU
45.91.67.0/24,BG
45.91.68.0/22,NL
45.91.72.0/24,US
45.91.74.0/23,US
45.91.77.0/24,DE
45.91.78.0/24,GB
45.91.79.0/24,US
45.91.84.0/22,MD
45.91.88.0/22,IN
45.91.92.0/22,US
45.91.100.0/22,DE
45.91.104.0/22,HU
45.91.108.0/22,NL
45.91.112.0/22,US
45.91.116.0/24,NL
45.91.117.0/24,HK
45.91.118.0/23,NL
45.91.124.0/23,FR
45.91.130.0/23,UA
45.91.132.0/22,TH
45.91.136.0/24,TR
45.91.137.0/24,BR
45.91.138.0/24,US
45.91.139.0/24,GB
45.91.140.0/22,BE
45.91.144.0/22,FR
45.91.148.0/23,US
45.91.151.0/24,TR
45.91.152.0/22,IR
45.91.156.0/22,DE
45.91.160.0/22,RU
45.91.164.0/22,BR
45.91.168.0/24,US
45.91.170.0/23,US
45.91.176.0/22,LT
45.91.180.0/22,CZ
45.91.184.0/22,IT
45.91.188.0/22,RO
45.91.192.0/23,US
45.91.194.0/23,BG
45.91.196.0/22,DE
45.91.200.0/22,NL
45.91.204.0/22,CH
45.91.208.0/22,NL
45.91.212.0/22,DE
45.91.216.0/22,UA
45.91.220.0/22,UZ
45.91.225.0/24,HK
45.91.228.0/22,CH
45.91.232.0/22,ES
45.91.236.0/23,RO
45.91.239.0/24,RU
45.91.244.0/22,AT
45.91.248.0/23,US
45.91.250.0/23,DE
45.91.252.0/23,GB
45.91.254.0/23,US
45.92.0.0/24,GB
45.92.1.0/24,DE
45.92.3.0/24,IE
45.92.4.0/22,AU
45.92.8.0/22,US
45.92.12.0/24,SE
45.92.16.0/21,NL
45.92.24.0/22,ES
45.92.28.0/24,GB
45.92.29.0/24,US
45.92.30.0/23,DE
45.92.32.0/22,RO
45.92.36.0/22,GB
45.92.40.0/24,US
45.92.41.0/24,GB
45.92.42.0/24,SI
45.92.43.0/24,GB
45.92.48.0/22,DE
45.92.52.0/22,FR
45.92.56.0/22,IT
45.92.60.0/22,FR
45.92.68.0/23,PT
45.92.71.0/24,LU
45.92.72.0/22,ES
45.92.76.0/24,US
45.92.77.0/24,HK
45.92.78.0/24,US
45.92.79.0/24,NL
45.92.84.0/22,IN
45.92.88.0/22,AU
45.92.92.0/22,IR
45.92.96.0/22,AU
45.92.104.0/22,TR
45.92.108.0/22,FR
45.92.112.0/22,DE
45.92.116.0/22,US
45.92.120.0/22,GB
45.92.124.0/22,US
45.92.128.0/22,LU
45.92.132.0/22,ES
45.92.136.0/22,DE
45.92.140.0/24,US
45.92.142.0/23,US
45.92.144.0/24,GB
45.92.148.0/22,IT
45.92.152.0/22,AU
45.92.156.0/24,VN
45.92.157.0/24,AU
45.92.158.0/23,HK
45.92.160.0/21,US
45.92.168.0/22,NL
45.92.172.0/22,RU
45.92.180.0/22,FR
45.92.184.0/22,ES
45.92.188.0/22,DE
45.92.192.0/22,US
45.92.196.0/22,BE
45.92.200.0/22,FR
45.92.204.0/22,ES
45.92.216.0/22,MY
45.92.224.0/22,NL
45.92.228.0/24,RO
45.92.231.0/24,SE
45.92.232.0/22,US
45.92.236.0/22,CZ
45.92.240.0/22,PL
45.92.244.0/23,NL
45.92.246.0/24,US
45.92.247.0/24,NL
45.92.252.0/22,FR
45.93.0.0/22,LT
45.93.8.0/23,UA
45.93.10.0/24,GB
45.93.11.0/24,MD
45.93.12.0/22,RU
45.93.16.0/24,US
45.93.17.0/24,HK
45.93.18.0/23,SG
45.93.20.0/24,HK
45.93.22.0/24,RU
45.93.23.0/24,NL
45.93.36.0/22,IT
45.93.40.0/22,NL
45.93.44.0/24,GB
45.93.46.0/24,IL
45.93.47.0/24,US
45.93.48.0/22,NL
45.93.52.0/22,LT
45.93.56.0/22,ES
45.93.60.0/22,RO
45.93.68.0/22,NL
45.93.80.0/24,RU
45.93.81.0/24,TR
45.93.82.0/24,IL
45.93.83.0/24,US
45.93.84.0/23,NL
45.93.87.0/24,NL
45.93.88.0/22,CH
45.93.92.0/22,IL
45.93.96.0/24,US
45.93.100.0/22,CY
45.93.104.0/21,DE
45.93.112.0/22,GB
45.93.116.0/23,AT
45.93.119.0/24,NL
45.93.120.0/22,ES
45.93.124.0/22,CY
45.93.128.0/22,RO
45.93.132.0/22,RU
45.93.136.0/22,CY
45.93.144.0/22,FR
45.93.149.0/24,NL
45.93.150.0/23,HK
45.93.152.0/22,CZ
45.93.156.0/22,RU
45.93.160.0/22,PL
45.93.164.0/22,US
45.93.168.0/22,IR
45.93.172.0/22,US
45.93.180.0/22,ES
45.93.188.0/24,US
45.93.191.0/24,DE
45.93.192.0/22,ES
45.93.196.0/22,RO
45.93.200.0/23,RU
45.93.203.0/24,GB
45.93.204.0/22,IT
45.93.208.0/22,ES
45.93.212.0/22,RU
45.93.216.0/22,RO
