cidr,countrycode
2.16.122.0/23,US
2.16.126.0/23,NL
2.16.140.0/23,US
2.16.142.0/23,NL
2.16.146.0/23,US
2.16.148.0/22,NL
2.16.174.0/23,US
2.16.176.0/23,NL
2.16.178.0/23,IT
2.16.180.0/22,NL
2.16.184.0/23,US
2.16.186.0/23,NL
2.16.190.0/23,ZA
2.16.192.0/22,US
2.16.196.0/22,NL
2.16.208.0/21,US
2.16.216.0/22,NL
2.16.220.0/22,IT
2.16.224.0/22,NL
2.16.228.0/22,US
2.16.236.0/22,NL
2.16.248.0/21,US
2.17.8.0/22,NL
2.17.12.0/23,US
2.17.14.0/23,NL
2.17.24.0/22,JO
2.17.28.0/22,US
2.17.32.0/20,NL
2.17.48.0/20,US
2.17.100.0/22,NL
2.17.116.0/22,RO
2.17.120.0/22,NL
2.17.124.0/22,IT
2.17.128.0/22,NL
2.17.132.0/22,US
2.17.144.0/23,RU
2.17.147.0/24,NL
2.17.148.0/22,US
2.17.160.0/21,NL
2.17.168.0/21,US
2.17.196.0/22,NL
2.17.202.0/23,AR
2.17.208.0/22,NL
2.17.212.0/22,US
2.17.216.0/22,NL
2.17.220.0/22,US
2.17.224.0/20,TR
2.17.240.0/21,US
2.17.248.0/21,NL
2.18.0.0/22,IT
2.18.4.0/22,TR
2.18.8.0/22,NL
2.18.12.0/22,US
2.18.16.0/20,NL
2.18.32.0/21,US
2.18.40.0/21,NL
2.18.56.0/22,AR
2.18.60.0/22,NL
2.18.64.0/24,UY
2.18.65.0/24,NL
2.18.68.0/22,US
2.18.76.0/22,NL
2.18.80.0/21,US
2.18.88.0/21,NL
2.18.112.0/20,US
2.18.144.0/20,NL
2.18.160.0/22,US
2.18.164.0/22,NL
2.18.168.0/21,US
2.18.176.0/20,NL
2.18.192.0/20,US
2.18.208.0/21,NL
2.18.220.0/22,US
2.18.224.0/21,NL
2.18.232.0/21,US
2.18.240.0/22,NL
2.18.246.0/23,US
2.18.248.0/21,NL
2.19.0.0/21,US
2.19.8.0/22,NL
2.19.12.0/22,US
2.19.48.0/21,NL
2.19.56.0/22,US
2.19.60.0/22,NL
2.19.64.0/20,US
2.19.80.0/22,NL
2.19.84.0/22,US
2.19.92.0/22,NL
2.19.100.0/22,US
2.19.108.0/22,AR
2.19.112.0/22,US
2.19.116.0/22,NL
2.19.128.0/19,US
2.19.160.0/22,NL
2.19.164.0/22,US
2.19.172.0/22,NL
2.19.179.0/24,IT
2.19.180.0/24,NL
2.19.181.0/24,RU
2.19.182.0/23,NL
2.19.188.0/22,US
2.19.192.0/19,NL
2.19.224.0/20,US
2.19.240.0/22,NL
2.19.244.0/22,US
2.19.248.0/23,NL
2.19.251.0/24,UY
2.19.252.0/23,US
2.19.254.0/24,NL
2.19.255.0/24,ZA
2.20.0.0/22,FI
2.20.4.0/22,US
2.20.8.0/21,NL
2.20.16.0/21,US
2.20.24.0/22,TR
2.20.28.0/22,US
2.20.44.0/22,NL
2.20.56.0/22,US
2.20.60.0/22,NL
2.20.68.0/24,ZA
2.20.69.0/24,NL
2.20.72.0/21,US
2.20.92.0/22,NL
2.20.96.0/19,RO
2.20.128.0/22,US
2.20.132.0/22,NL
2.20.136.0/23,US
2.20.138.0/23,NL
2.20.148.0/22,US
2.20.152.0/22,ZA
2.20.156.0/22,US
2.20.178.0/23,NL
2.20.192.0/22,US
2.20.196.0/22,NL
2.20.200.0/21,US
2.20.224.0/20,IT
2.20.240.0/23,US
2.20.242.0/23,NL
2.20.249.0/24,AE
2.20.250.0/23,US
2.20.252.0/24,IT
2.20.253.0/24,NL
2.21.14.0/24,IT
2.21.15.0/24,NL
2.21.16.0/22,US
2.21.20.0/22,NL
2.21.28.0/22,DK
2.21.32.0/21,NL
2.21.40.0/21,US
2.21.64.0/19,NL
2.21.100.0/22,US
2.21.104.0/22,NL
2.21.110.0/23,US
2.21.128.0/22,NL
2.21.134.0/23,US
2.21.140.0/22,NL
2.21.160.0/22,ZA
2.21.164.0/22,IT
2.21.168.0/22,US
2.21.172.0/23,NL
2.21.175.0/24,US
2.21.188.0/22,NL
2.21.192.0/19,US
2.21.224.0/22,NL
2.21.231.0/24,AE
2.21.232.0/22,ZA
2.21.236.0/23,NL
2.21.238.0/23,US
2.21.240.0/21,NL
2.21.248.0/22,US
2.21.252.0/22,NL
2.22.0.0/21,US
2.22.8.0/22,NL
2.22.12.0/22,US
2.22.20.0/23,IT
2.22.22.0/23,NL
2.22.24.0/22,UY
2.22.29.0/24,NL
2.22.32.0/22,US
2.22.36.0/22,SE
2.22.44.0/22,US
2.22.48.0/21,NL
2.22.56.0/22,US
2.22.61.0/24,NL
2.22.64.0/21,US
2.22.72.0/22,CA
2.22.76.0/22,US
2.22.80.0/22,NL
2.22.84.0/22,US
2.22.88.0/21,NL
2.22.96.0/20,US
2.22.112.0/20,NL
2.22.128.0/20,US
2.22.144.0/21,NL
2.22.152.0/22,US
2.22.156.0/22,NL
2.22.160.0/19,FR
2.22.192.0/19,US
2.22.224.0/23,NL
2.22.226.0/23,US
2.22.228.0/22,NL
2.22.233.0/24,IL
2.22.234.0/23,NL
2.22.238.0/23,SE
2.22.240.0/22,NL
2.22.246.0/23,US
2.22.248.0/22,NL
2.22.254.0/23,US
2.23.0.0/21,NL
2.23.8.0/22,US
2.23.12.0/22,NL
2.23.16.0/20,IT
2.23.32.0/19,US
2.23.80.0/20,NL
2.23.98.0/23,US
2.23.100.0/23,NL
2.23.102.0/23,AR
2.23.104.0/21,US
2.23.112.0/20,IT
2.23.128.0/20,SE
2.23.144.0/21,US
2.23.152.0/21,NL
2.23.160.0/22,US
2.23.166.0/23,NL
2.23.168.0/22,VG
2.23.172.0/22,NL
2.23.180.0/22,US
2.23.184.0/22,NL
2.23.188.0/22,US
2.23.208.0/20,NL
2.23.224.0/19,QA
2.24.0.0/13,GB
2.32.0.0/12,IT
2.48.0.0/14,AE
2.52.0.0/14,IL
2.56.5.0/24,DK
2.56.10.0/24,SC
2.56.11.0/24,US
2.56.12.0/22,BG
2.56.16.0/22,RO
2.56.20.0/22,US
2.56.24.0/22,RU
2.56.28.0/22,SE
2.56.32.0/22,US
2.56.36.0/22,IQ
2.56.40.0/22,CH
2.56.44.0/22,VG
2.56.52.0/22,BG
2.56.56.0/22,US
2.56.60.0/22,TR
2.56.64.0/22,ES
2.56.68.0/22,PL
2.56.72.0/22,US
2.56.76.0/22,DE
2.56.80.0/22,FR
2.56.84.0/22,ES
2.56.88.0/23,RU
2.56.91.0/24,HK
2.56.92.0/22,IT
2.56.96.0/22,DE
2.56.100.0/23,NL
2.56.102.0/23,DE
2.56.104.0/22,LU
2.56.108.0/22,US
2.56.112.0/23,NL
2.56.114.0/23,US
2.56.128.0/22,IT
2.56.132.0/24,DE
2.56.135.0/24,DE
2.56.136.0/24,UA
2.56.137.0/24,US
2.56.138.0/24,RU
2.56.139.0/24,US
2.56.140.0/22,CY
2.56.148.0/22,RO
2.56.152.0/22,TR
2.56.156.0/23,FR
2.56.160.0/22,AT
2.56.164.0/23,GB
2.56.166.0/24,RO
2.56.167.0/24,NL
2.56.168.0/24,UA
2.56.169.0/24,CH
2.56.170.0/24,DE
2.56.171.0/24,NL
2.56.172.0/22,US
2.56.180.0/22,RU
2.56.184.0/22,LT
2.56.188.0/22,GB
2.56.196.0/22,GB
2.56.200.0/22,US
2.56.204.0/22,AM
2.56.208.0/22,AT
2.56.212.0/22,CY
2.56.216.0/22,NL
2.56.220.0/22,LU
2.56.224.0/22,NL
2.56.228.0/22,IN
2.56.232.0/22,DE
2.56.236.0/22,US
2.56.240.0/23,RU
2.56.243.0/24,NL
2.56.245.0/24,DE
2.56.246.0/24,IT
2.56.247.0/24,FR
2.56.248.0/23,IQ
2.56.251.0/24,US
2.56.252.0/23,PA
2.56.254.0/23,US
2.57.4.0/22,ES
2.57.8.0/22,PL
2.57.12.0/24,US
2.57.13.0/24,NL
2.57.16.0/24,MY
2.57.17.0/24,GB
2.57.20.0/23,RO
2.57.22.0/23,GB
2.57.24.0/22,IE
2.57.28.0/22,RO
2.57.32.0/22,IT
2.57.36.0/24,UA
2.57.37.0/24,RU
2.57.39.0/24,UA
2.57.40.0/22,BE
2.57.44.0/22,GB
2.57.48.0/22,AT
2.57.56.0/22,NL
2.57.64.0/22,SK
2.57.68.0/22,RO
2.57.72.0/22,FR
2.57.76.0/22,IN
